text,label,phishing_type,severity,confidence
"Dear user, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: personal information, security question, login

Security Team,
Jamie Patel",1,credential_harvesting,high,0.8
"Hello, we detected unusual activity on your account. To restore access, please update your information. Your account may be restricted until you reactivate it.

Keywords: unauthorized restore breach

Account Services,
Alex Kim",1,social_engineering,high,0.81
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: instantly, last chance, final notice, today only, rush, 24 hours

Compliance Team,
Sam Wong",1,urgency,high,0.89
"Subject: Training session notes

Quick reminder about the training session tomorrow. The materials are in the shared drive.

Appreciate your feedback on this draft.

Best,
Casey Lee",0,legitimate,low,0.95
"Hello, this is the fraud prevention compliance team. There are security concerns on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a restriction.

Keywords: acquisition bank of america spotify whatsapp visa

Sincerely,
Sam Nguyen",1,authority_scam,high,0.95
"Subject: Office maintenance

Please find the minutes from our last meeting. Action items are listed at the end of the note for convenience.

I'll share the slides later today.

Best,
Jamie Patel",0,legitimate,low,0.98
"Subject: Documentation review

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Alex Garcia",0,legitimate,low,0.97
"Dear customer, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: we met, soldier, doctor

Compliance Team,
Casey Lee",1,romance_dating,high,0.87
"Subject: Onboarding checklist

Thanks for attending the workshop. Here are the links to references and the slide deck.

I'll share the slides later today.

Best,
Jordan Patel",0,legitimate,low,0.99
"Attention, we detected a login attempt on your account. To verify access, please validate your information. Your account may be locked until you recover it.

Keywords: restricted login attempt violation unauthorized compromised

Risk Operations,
Jordan Lee",1,social_engineering,high,0.87
"Subject: Code review summary

Please find the minutes from our last meeting. Action items are listed at the end for convenience.

Thanks for reviewing the document.

Best,
Jordan Brown",0,legitimate,low,0.96
"Hi there, congratulations! You are the selected recipient of a prize. To redeem your payment of ₹80,000, please provide your credit card to process the total. This deal is available today only.

Keywords: earnings refund amount transfer

Security Team,
Casey Lee",1,financial_scam,medium,0.74
"Subject: Classroom logistics

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

I'll share the slides later today.

Best,
Morgan Kim",0,legitimate,low,0.95
"Dear customer, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: do not reply, noreply, visit, announcement

Regards,
Taylor Brown",1,generic_phishing,low,0.74
"Dear user, final warning. Failure to respond will hold your account. Immediate action is required to avoid legal action. Your case will be referred to the judge if unresolved.

Keywords: default delete final warning terminate

IT Desk,
Morgan Brown",1,threats,high,0.83
"Notice, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: deadline, asap, while supplies last

Compliance Team,
Jamie Wong",1,urgency,high,0.78
"Subject: Research discussion

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Jamie Kim",0,legitimate,low,0.95
"Attention, this is an act now notice regarding your account. Your access will expire within 24 hours. To avoid interruption, respond asap. This offer is time sensitive and ends soon. Follow the instructions now.

Keywords: act now 24 hours

Regards,
Taylor Brown",1,urgency,high,0.85
